Net_Name,Net_Pins
0.6V_VREFCA,C36.2 C37.2 C38.2 C39.2 C40.2 C199.2 C200.2 C201.2 C202.2 C271.1 JH8.1 TP11376.1 U9.J1 U10.J1 U11.J1 U12.J1 U13.J1 U34.J1 U35.J1 U36.J1 U37.J1 U38.6
0.6V_VTT,C177.1 C178.1 C180.1 C181.1 C182.1 C183.1 C189.1 C198.1 C221.1 C233.1 C235.1 C250.1 C251.1 JH7.1 R151.2 R152.2 R153.2 R154.2 R155.2 R156.2 R157.2 R158.2 R159.2 R160.2 R170.2 R171.2 R172.2 R173.2 R174.2 R181.2 R182.2 R183.2 R184.2 R185.2 R197.2 R198.2 R199.2 R200.2 R201.2 R213.2 R214.2 R215.2 R220.2 R221.2 TP11374.1 U38.3 U38.5
1.2V,C129.1 C479.1 C525.1 C526.1 C550.1 C556.1 C557.1 C558.1 C559.1 C560.1 C561.1 C564.1 C565.1 C582.1 JH13.1 R212.1 R308.1 TP12199.1 U1.AA9 U1.AB9 U1.AC9 U1.AD9 U1.AE9 U1.AF9 U1.P9 U1.R9 U44.7 U44.8 U44.9 U44.10 U44.11 U44.12
1.2V_AVDDL,C232.1 C248.1 C268.1 C269.1 C270.1 C328.1 C330.1 C331.1 L11.1 L12.1 Q3.1 Q3.2 Q3.5 Q3.6 R212.2 TP12200.1 U15.4 U15.5 U15.12 U15.13
1.2V_AVDDL_PLL,C56.1 C247.1 L12.2 TP11803.1 U15.59
1.2V_DDR,C3.1 C4.1 C5.1 C6.1 C7.1 C16.1 C18.1 C20.1 C22.1 C24.1 C26.1 C34.1 C35.1 C41.1 C44.1 C45.1 C46.1 C47.1 C48.1 C49.1 C50.1 C51.1 C52.1 C53.1 C62.1 C63.1 C64.1 C65.1 C66.1 C67.1 C82.1 C83.1 C92.1 C97.1 C98.1 C105.1 C109.1 C184.1 C185.1 C186.1 C187.1 C190.1 C192.1 C194.1 C196.1 C203.1 C204.1 C208.1 C209.1 C210.1 C211.1 C212.1 C213.1 C214.1 C215.1 C216.1 C219.2 C220.2 C222.1 C223.1 C224.1 C225.1 C226.1 C227.1 C228.1 C229.1 C234.1 C240.1 C241.1 C242.1 C253.1 C254.1 C255.1 C256.1 C257.1 C258.1 C259.1 C260.1 C261.1 C277.1 C280.1 C281.1 C282.1 C283.1 C284.1 C285.1 C286.1 C335.1 C338.1 C339.1 C340.1 C341.1 C342.1 C343.1 C344.1 C393.1 C397.1 C398.1 C399.1 C400.1 C401.1 JH10.1 L4.2 R12.1 R69.1 R251.2 R268.1 R279.1 SH7.2 TP11804.1 U1.AJ21 U1.AJ23 U1.AJ25 U1.AJ27 U1.AJ29 U1.AJ31 U1.AK20 U1.AK22 U1.AK24 U1.AK26 U1.AK28 U1.AK30 U1.AK32 U1.AL21 U1.AL25 U1.AL27 U1.AL29 U1.AL31 U1.AM22 U1.AM24 U1.AM26 U1.AM28 U1.AM30 U1.AM32 U1.AN25 U1.AN27 U1.AN29 U1.AN31 U1.AN33 U1.AN35 U1.AT25 U1.AT27 U1.AT29 U1.AT31 U1.AT33 U1.AT35 U1.AT37 U9.A1 U9.B2 U9.B8 U9.C1 U9.C7 U9.C9 U9.E2 U9.E8 U9.F1 U9.F9 U9.H1 U9.J9 U9.M1 U9.N9 U10.A1 U10.B2 U10.B8 U10.C1 U10.C7 U10.C9 U10.E2 U10.E8 U10.F1 U10.F9 U10.H1 U10.J9 U10.M1 U10.N9 U11.A1 U11.B2 U11.B8 U11.C1 U11.C7 U11.C9 U11.E2 U11.E8 U11.F1 U11.F9 U11.H1 U11.J9 U11.M1 U11.N9 U12.A1 U12.B2 U12.B8 U12.C1 U12.C7 U12.C9 U12.E2 U12.E8 U12.F1 U12.F9 U12.H1 U12.J9 U12.M1 U12.N9 U13.A1 U13.B2 U13.B8 U13.C1 U13.C7 U13.C9 U13.E2 U13.E8 U13.F1 U13.F9 U13.H1 U13.J9 U13.M1 U13.N9 U34.A1 U34.B2 U34.B8 U34.C1 U34.C7 U34.C9 U34.E2 U34.E8 U34.F1 U34.F9 U34.H1 U34.J9 U34.M1 U34.N9 U35.A1 U35.B2 U35.B8 U35.C1 U35.C7 U35.C9 U35.E2 U35.E8 U35.F1 U35.F9 U35.H1 U35.J9 U35.M1 U35.N9 U36.A1 U36.B2 U36.B8 U36.C1 U36.C7 U36.C9 U36.E2 U36.E8 U36.F1 U36.F9 U36.H1 U36.J9 U36.M1 U36.N9 U37.A1 U37.B2 U37.B8 U37.C1 U37.C7 U37.C9 U37.E2 U37.E8 U37.F1 U37.F9 U37.H1 U37.J9 U37.M1 U37.N9 U38.2 U44.1 U44.13
1.2V_DVDDL,C57.1 C246.1 C266.1 C323.1 C325.1 C326.1 L11.2 TP11805.1 U15.20 U15.25 U15.36 U15.42 U15.54
1.2V_PWR_USBPHY,C155.1 C592.1 TP11908.1 U29.17
1.8V,C58.1 C68.1 C69.1 C78.1 C164.1 C244.1 C262.1 C263.1 C265.1 C396.1 C485.1 C495.1 C498.1 C499.1 C501.1 C510.1 C511.1 C521.1 C522.1 C532.1 C533.1 C534.1 C535.1 C543.1 C544.1 C595.1 L1.2 L7.2 L14.2 L16.2 L19.2 R226.1 R274.2 R275.2 R311.1 R312.1 SH3.1 TP11551.1 U1.AA10 U1.AB10 U1.AB12 U1.AB13 U1.AC10 U1.AC11 U1.AC12 U1.AC13 U1.AD10 U1.AD11 U1.AD12 U1.AD13 U1.AE10 U1.AE12 U1.AE13 U1.AF10 U1.L30 U1.M30 U1.P11 U1.P12 U1.P13 U1.P14 U1.R11 U1.R12 U1.R13 U1.R14
1.8V_VAA_DDR_PLL,C287.1 C337.1 C345.1 L14.1 TP11492.1 U1.AJ26
