column_one,column_two
*SIG 3V3,D17.2.S
*SIG 3V3,R133.1.U
*SIG 3V3,R132.1.U
*SIG 15V_SMPS,R55.1.U
*SIG 15V_SMPS,F3.1.U
*SIG 15V_SMPS,TP1.1.U
*SIG 15V_SMPS,U7.1.L
*SIG 15V_SMPS,R122.2.U
*SIG 15V_SMPS,U8.1.L
*SIG 15V_SMPS,R131.2.U
*SIG 48V_SMPS_HEATER,J12.1.U
*SIG 48V_SMPS_HEATER,C69.2.U
*SIG 48V_SMPS_HEATER,C75.1.U
*SIG 48V_SMPS_HEATER,J13.1.U
*SIG 48V_SMPS_HEATER,C70.1.U
*SIG 48V_SMPS_HEATER,J7.1.U
*SIG 48V_SMPS_HEATER,C74.2.U
*SIG 48V_SMPS_HEATER,R52.1.U
*SIG ACSET,U5.17.S
*SIG ACSET,R85.2.U
*SIG ACSET,R84.1.U
*SIG BAT_NTC,J9.3.S
*SIG BAT_NTC,R90.1.U
*SIG BAT_NTC,R92.1.U
*SIG BAT_NTC,R91.2.U
*SIG BAT_NTC,R93.2.U
*SIG BAT_SCL,J9.4.S
*SIG BAT_SCL,J10.2.L
*SIG BAT_SDA,J9.5.S
*SIG BAT_SDA,J10.3.L
*SIG CHARGE_ENABLE,R103.1.U
*SIG CHARGE_ENABLE,J10.1.L
*SIG CHARGE_STATUS,R86.1.U
*SIG CHARGE_STATUS,J10.5.L
*SIG CHASIS_GND,C76.1.U
*SIG CHASIS_GND,C71.1.U
*SIG CHASIS_GND,C75.2.U
*SIG CHASIS_GND,C70.2.U
*SIG CHASIS_GND,MH6.1.U
*SIG CHASIS_GND,MH3.1.U
*SIG CHASIS_GND,MH4.1.U
*SIG CHASIS_GND,MH5.1.U
*SIG CHASIS_GND,MH1.1.U
*SIG CHASIS_GND,MH2.1.U
*SIG CS1,R126.1.U
*SIG CS1,J14.4.L
*SIG CS1,D21.A.U
*SIG CS1,R128.1.U
*SIG CS1,Q18.E.U
*SIG CS1,R125.1.U
*SIG CS2,R117.1.U
*SIG CS2,J14.5.L
*SIG CS2,D19.A.U
*SIG CS2,R119.1.U
*SIG CS2,R116.1.U
*SIG CS2,Q17.E.U
*SIG FAULT1,R115.1.U
*SIG FAULT1,R133.2.U
*SIG FAULT1,J14.2.L
*SIG FAULT2,J14.3.L
*SIG FAULT2,R124.1.U
*SIG FAULT2,R132.2.U
*SIG GND,J9.6.S
*SIG GND,J9.2.S
*SIG GND,Q10.2.U
*SIG GND,D16.1.U
*SIG GND,D17.1.S
*SIG GND,U5.22.S
*SIG GND,U5.23.S
*SIG GND,U5.25.S
*SIG GND,U5.28.U
*SIG GND,U5.26.U
*SIG GND,U5.27.U
*SIG GND,U5.29.U
*SIG GND,U5.30.U
*SIG GND,U5.31.U
*SIG GND,C73.1.U
*SIG GND,C67.2.U
*SIG GND,C72.2.U
*SIG GND,C42.2.U
*SIG GND,R70.2.U
*SIG GND,C49.1.U
*SIG GND,C58.1.U
*SIG GND,C79.2.U
*SIG GND,C38.2.U
*SIG GND,C60.2.U
*SIG GND,C43.2.U
*SIG GND,C44.2.U
*SIG GND,C46.2.U
*SIG GND,C56.2.U
*SIG GND,C59.2.U
*SIG GND,C36.2.U
*SIG GND,C61.2.U
*SIG GND,C45.2.U
*SIG GND,C50.2.U
*SIG GND,C55.2.U
*SIG GND,C57.2.U
*SIG GND,C18.2.U
*SIG GND,L6.1.U
*SIG GND,L6.2.U
*SIG GND,D11.2.U
*SIG GND,U7.4.L
*SIG GND,U7.5.S
*SIG GND,U8.4.L
*SIG GND,U8.5.S
*SIG GND,R19.1.U
*SIG GND,R81.2.U
*SIG GND,R89.1.U
*SIG GND,R93.1.U
*SIG GND,R56.1.U
*SIG GND,R101.1.U
*SIG GND,R85.1.U
*SIG GND,R91.1.U
*SIG GND,R83.1.U
*SIG GND,TP5.1.U
*SIG GND,U4.9.L
*SIG GND,U4.13.S
*SIG GND,U4.21.S
*SIG GND,U4.26.U
*SIG GND,U4.22.U
*SIG GND,U4.23.U
*SIG GND,U4.24.U
*SIG GND,U4.25.U
*SIG GND,U4.27.U
*SIG GND,J10.SH2.U
*SIG GND,J10.SH1.U
*SIG GND,J10.6.L
*SIG GND,J14.SH2.U
*SIG GND,J14.SH1.U
*SIG GND,J14.6.L
*SIG GND,J15.2.U
*SIG GND,C21.1.U
*SIG GND,C22.2.U
*SIG GND,C27.1.U
*SIG GND,C32.2.U
*SIG GND,C34.2.U
*SIG GND,C35.1.U
*SIG GND,C23.2.U
*SIG GND,C28.2.U
*SIG GND,C29.2.U
*SIG GND,C30.2.U
*SIG GND,C33.2.U
*SIG GND,J7.2.U
*SIG GND,D7.A.U
*SIG GND,R16.2.U
*SIG GND,R30.2.U
*SIG GND,R54.1.U
*SIG GND,R117.2.U
*SIG GND,R126.2.U
*SIG GND,C68.1.U
*SIG GND,C69.1.U
*SIG GND,C71.2.U
*SIG GND,C74.1.U
*SIG GND,C76.2.U
*SIG GND,C17.2.U
*SIG GND,C20.2.U
*SIG GND,R43.2.U
*SIG GND,Q1.1.U
*SIG GND,Q1.2.U
*SIG GND,Q1.3.U
*SIG GND,C37.2.U
*SIG HEATER_PWM_BUF,J14.1.L
*SIG HEATER_PWM_BUF,R114.1.U
*SIG HEATER_PWM_BUF,R123.1.U
*SIG OVPSET,U5.18.S
*SIG OVPSET,C38.1.U
*SIG OVPSET,R69.2.U
*SIG OVPSET,R70.1.U
*SIG TS,U5.10.L
*SIG TS,R92.2.U
*SIG TTC,R89.2.U
*SIG TTC,R88.1.U
*SIG TTC,R87.1.U
*SIG TTC,U5.11.L
*SIG VBAT,R76.2.U
*SIG VBAT,C56.1.U
*SIG VBAT,C50.1.U
*SIG VBAT,C55.1.U
*SIG VBAT,Q7.1.U
*SIG VBAT,Q7.2.U
*SIG VBAT,Q7.3.U
*SIG VBAT,F4.1.U
*SIG VBAT,R77.2.U
*SIG VBAT,D15.1.L
*SIG VBAT,R100.2.U
*SIG VBAT,TP3.1.U
*SIG VBAT_DETECT_ADC,D17.3.L
*SIG VBAT_DETECT_ADC,R101.2.U
*SIG VBAT_DETECT_ADC,R100.1.U
*SIG VBAT_DETECT_ADC,J10.4.L
*SIG VDC,R98.2.U
*SIG VDC,R99.2.U
*SIG VDC,R97.2.U
*SIG VDC,R96.2.U
